metabolites,numOfPathway
HMDB0001405,3
HMDB0004076,1
HMDB0006754,11
HMDB0001178,24
HMDB0000232,2
HMDB0007940,6
HMDB0006807,4
HMDB0001010,2
HMDB0014859,1
HMDB0014454,1
HMDB0015230,1
HMDB0003936,13
HMDB0014887,1
HMDB0013892,1
HMDB0001078,3
HMDB0001235,17
HMDB0000965,1
HMDB0000252,6
HMDB0000063,12
HMDB0000903,11
HMDB0003470,4
HMDB0003940,14
HMDB0001928,1
HMDB0003848,2
HMDB0000015,35
HMDB0001491,137
HMDB0000237,5
HMDB0014992,1
HMDB0000045,155
HMDB0001534,6
HMDB0006888,7
HMDB0002183,1
HMDB0000217,233
HMDB0001275,33
HMDB0005998,41
HMDB0001188,23
HMDB0000883,52
HMDB0060688,2
HMDB0001958,3
HMDB0000267,6
HMDB0001321,5
HMDB0060607,2
HMDB0003946,13
HMDB0001273,104
HMDB0006229,1
HMDB0013897,1
HMDB0001170,23
HMDB0000957,8
HMDB0006272,2
HMDB0015151,1
HMDB0004242,41
HMDB0000999,17
HMDB0001532,17
HMDB0006809,1
HMDB0015678,1
HMDB0001976,1
HMDB0002307,4
HMDB0000744,10
HMDB0000016,11
HMDB0015297,1
HMDB0000963,8
HMDB0000087,2
HMDB0012238,1
HMDB0001356,17
HMDB0000902,268
HMDB0005014,2
HMDB0002190,41
HMDB0001229,8
HMDB0010042,49
HMDB0000960,17
HMDB0013895,2
HMDB0000114,1
HMDB0003938,13
HMDB0000791,1
HMDB0010719,1
HMDB0010734,1
HMDB0005006,1
HMDB0004259,1
HMDB0003259,11
HMDB0000719,8
HMDB0003125,130
HMDB0000134,65
HMDB0014477,2
HMDB0006059,41
HMDB0000209,1
HMDB0001448,11
HMDB0015326,1
HMDB0015565,1
HMDB0013995,2
HMDB0000138,7
HMDB0014912,1
HMDB0003424,1
HMDB0000828,8
HMDB0000082,44
HMDB0004836,6
HMDB0001238,1
HMDB0000296,5
HMDB0002752,41
HMDB0012819,1
HMDB0012130,7
HMDB0000042,20
HMDB0006247,7
HMDB0001416,1
HMDB0015189,1
HMDB0061725,1
HMDB0002255,22
HMDB0000174,3
HMDB0000652,2
HMDB0001268,12
HMDB0000988,9
HMDB0014838,1
HMDB0003080,1
HMDB0001269,1
HMDB0003598,2
HMDB0003873,7
HMDB0013860,4
HMDB0001487,265
HMDB0001426,38
HMDB0001457,7
HMDB0000855,1
HMDB0000787,3
HMDB0006842,23
HMDB0001123,1
HMDB0000251,8
HMDB0001521,16
HMDB0060548,1
HMDB0000901,1
HMDB0001011,17
HMDB0000073,64
HMDB0001068,5
HMDB0002350,1
HMDB0001031,4
HMDB0015564,1
HMDB0001270,21
HMDB0014359,1
HMDB0014847,2
HMDB0000051,120
HMDB0001113,17
HMDB0011142,1
HMDB0001049,15
HMDB0002084,3
HMDB0000126,7
HMDB0000806,1
HMDB0000259,56
HMDB0010716,1
HMDB0000050,29
HMDB0014455,1
HMDB0001493,17
HMDB0015252,1
HMDB0002009,20
HMDB0000023,17
HMDB0013636,11
HMDB0001452,41
HMDB0014372,1
HMDB0014785,1
HMDB0000895,15
HMDB0012282,7
HMDB0003942,14
HMDB0003911,5
HMDB0060650,1
