"","gene.list"
"10022","IL1F9"
"10023","IL1F6"
"10024","IL1F5"
"10025","IL1F10"
"10026","IL1RN"
"10027","PSD4"
"10028","LOC654433"
"10029","CBWD1"
"10030","FOXD4L1"
"10031","PGM5"
"10032","WASH2P"
"10033","RABL2A"
"10034","ACTR3"
"10035","DDX18"
"10036","INSIG2"
"10037","MARCO"
"10038","STEAP3"
"10039","DBI"
"10040","TMEM37"
"10041","TMEM177"
"10042","PTPN4"
"10043","EPB41L5"
"10044","RALB"
"10045","INHBB"
"10046","GLI2"
"10047","RNU4ATAC"
"10048","TSN"
"10049","GYPC"
"10050","PROC"
"10051","MYO7B"
"10052","GPR17"
"10053","SFT2D3"
"10054","UGGT1"
"10055","RAB6C"
"10056","MZT2B"
"10057","MZT2A"
"10058","IMP4"
"10059","PTPN18"
"10060","CFC1B"
"10061","POTEE"
"10062","C2orf14"
"10063","GPR148"
"10064","FAM123C"
"10065","ARHGEF4"
"10066","PLEKHB2"
"10067","TUBA3D"
"10068","SMPD4"
"10069","CCDC74A"
"10070","POTEKP"
"10071","C2orf27A"
"10072","LOC441666"
"10073","FAM201B"
"10074","GPR39"
"10075","MGAT5"
"10076","ACMSD"
"10077","CCNT2"
"10078","RAB3GAP1"
"10079","R3HDM1"
"10080","UBXN4"
"10081","THSD7B"
"10082","HNMT"
"10083","SPOPL"
"10084","KYNU"
"10085","ARHGAP15"
"10086","PABPC1P2"
"10087","ACVR2A"
"10088","MBD5"
"10089","EPC2"
"10090","KIF5C"
"10091","LYPD6B"
"10092","LYPD6"
"10093","TNFAIP6"
"10094","RIF1"
"10095","FMNL2"
"10096","ARL6IP6"
"10097","GALNT13"
"10098","KCNJ3"
"10099","GPD2"
"10100","GALNT5"
"10101","PKP4"
"10102","DAPL1"
"10103","TANC1"
"10104","MARCH7"
"10105","TANK"
"10106","PSMD14"
"10107","TBR1"
"10108","SLC4A10"
"10109","GCA"
"10110","SCN2A"
"10111","CSRNP3"
"10112","LASS6"
"10113","NOSTRIN"
"10114","DHRS9"
"10115","BBS5"
"10116","PPIG"
"10117","KLHL23"
"10118","SSB"
"10119","UBR3"
"10120","SP5"
"10121","GAD1"
"10122","GORASP2"
"10123","DCAF17"
"10124","CYBRD1"
"10125","DYNC1I2"
"10126","HAT1"
"10127","METAP1D"
"10128","DLX1"
"10129","ITGA6"
"10130","PDK1"
"10131","RAPGEF4"
"10132","ZAK"
"10133","CDCA7"
"10134","SCRN3"
"10135","HOXD13"
"10136","HOXD12"
"10137","HOXD11"
"10138","HOXD10"
"10139","HOXD9"
"10140","HOXD8"
"10141","HOXD4"
"10142","HOXD3"
"10143","HOXD1"
"10144","MTX2"
"10145","AGPS"
"10146","RBM45"
"10147","OSBPL6"
"10148","PLEKHA3"
"10149","UBE2E3"
"10150","ITGA4"
"10151","SSFA2"
"10152","PPP1R1C"
"10153","DNAJC10"
"10154","DUSP19"
"10155","NUP35"
"10156","ZNF804A"
"10157","FSIP2"
"10158","ZC3H15"
"10159","ITGAV"
"10160","FAM171B"
"10161","GULP1"
"10162","COL3A1"
"10163","WDR75"
"10164","ASNSD1"
"10165","ANKAR"
"10166","PMS1"
"10167","C2orf88"
"10168","INPP1"
"10169","MFSD6"
"10170","NAB1"
"10171","GLS"
"10172","MYO1B"
"10173","OBFC2A"
"10174","SLC39A10"
"10175","COQ10B"
"10176","HSPE1"
"10177","MOBKL3"
"10178","MARS2"
"10179","PLCL1"
"10180","FLJ32063"
"10181","C2orf69"
"10182","C2orf47"
"10183","SPATS2L"
"10184","SGOL2"
"10185","AOX1"
"10186","BZW1"
"10187","NIF3L1"
"10188","NDUFB3"
"10189","CFLAR"
"10190","CASP10"
"10191","CASP8"
"10192","CDK15"
"10193","FZD7"
"10194","FLJ39061"
"10195","NOP58"
"10196","BMPR2"
"10197","FAM117B"
"10198","ALS2CR8"
"10199","NBEAL1"
"10200","RPL12"
"10201","CYP20A1"
"10202","ABI2"
"10203","CD28"
"10204","CTLA4"
"10205","ICOS"
"10206","PARD3B"
"10207","NRP2"
"10208","EEF1B2"
"10209","SNORD51"
"10210","SNORA41"
"10211","ZDBF2"
"10212","ADAM23"
"10213","FASTKD2"
"10214","CPO"
"10215","CREB1"
"10216","CCNYL1"
"10217","PIKFYVE"
"10218","PTH2R"
"10219","MAP2"
"10220","UNC80"
"10221","RPE"
"10222","CPS1"
"10223","SPAG16"
"10224","ATIC"
"10225","FN1"
"10226","TMEM169"
"10227","XRCC5"
"10228","PK155"
"10229","SMARCAL1"
"10230","RPL37A"
"10231","IGFBP2"
"10232","RUFY4"
"10233","ARPC2"
"10234","GPBAR1"
"10235","PNKD"
"10236","C2orf62"
"10237","SLC11A1"
"10238","CTDSP1"
"10239","MIR26B"
"10240","VIL1"
"10241","RQCD1"
"10242","PLCD4"
"10243","BCS1L"
"10244","STK36"
"10245","TTLL4"
"10246","CYP27A1"
"10247","WNT6"
"10248","WNT10A"
"10249","CDK5R2"
"10250","FAM134A"
"10251","ZFAND2B"
"10252","ANKZF1"
"10253","STK16"
"10254","TUBA4B"
"10255","DNAJB2"
"10256","DES"
"10257","SPEG"
"10258","GMPPA"
"10259","TMEM198"
"10260","INHA"
"10261","STK11IP"
"10262","SLC4A3"
"10263","CCDC140"
"10264","SGPP2"
"10265","ACSL3"
"10266","KCNE4"
"10267","MRPL44"
"10268","RHBDD1"
"10269","COL4A3"
"10270","MFF"
"10271","AGFG1"
"10272","FBXO36"
"10273","SP140"
"10274","SP140L"
"10275","SP100"
"10276","CAB39"
"10277","ITM2C"
"10278","SPATA3"
"10279","PSMD1"
"10280","ARMC9"
"10281","B3GNT7"
"10282","C2orf57"
"10283","COPS7B"
"10284","DIS3L2"
"10285","ALPP"
"10286","ALPPL2"
"10287","ALPI"
"10288","CHRND"
"10289","CHRNG"
"10290","EIF4E2"
"10291","EFHD1"
"10292","GIGYF2"
"10293","C2orf82"
"10294","NEU2"
"10295","INPP5D"
"10296","ATG16L1"
"10297","SCARNA5"
"10298","SCARNA6"
"10299","SAG"
"10300","DGKD"
"10301","UGT1A1"
"10302","HEATR7B1"
"10303","SH3BP4"
"10304","AGAP1"
"10305","CXCR7"
"10306","COPS8"
"10307","MLPH"
"10308","PRLH"
"10309","LRRFIP1"
"10310","RAMP1"
"10311","UBE2F"
"10312","SCLY"
"10313","ESPNL"
"10314","KLHL30"
"10315","FAM132B"
"10316","TRAF3IP1"
"10317","ASB1"
"10318","FLJ45964"
"10319","GPC1"
"10320","MIR149"
"10321","DUSP28"
"10322","RNPEPL1"
"10323","CAPN10"
"10324","GPR35"
"10325","AQP12A"
"10326","AGXT"
"10327","SNED1"
"10328","PPP1R7"
"10329","ANO7"
"10330","HDLBP"
"10331","SEPT2"
"10332","FARP2"
"10333","BOK"
"10334","ATG4B"
"10335","ING5"
"10336","D2HGDH"
"10337","GAL3ST2"
"10338","NEU4"
"10339","LOC100131763"
"10340","C2orf85"
"10341","FLJ38379"
"10342","FLJ41327"
"10343","FBXO25"
"10344","FAM110C"
"10345","SH3YL1"
"10346","FAM150B"
"10347","TMEM18"
"10348","PXDN"
"10349","MYT1L"
"10350","TSSC1"
"10351","ADI1"
"10352","RNASEH1"
"10353","TMSB4XP2"
"10354","FLJ42418"
"10355","CMPK2"
"10356","LOC100129581"
"10357","KIDINS220"
"10358","MBOAT2"
"10359","ITGB1BP1"
"10360","ADAM17"
"10361","YWHAQ"
"10362","UNQ5830"
"10363","CYS1"
"10364","ODC1"
"10365","SNORA80B"
"10366","NOL10"
"10367","FLJ33534"
"10368","ROCK2"
"10369","E2F6"
"10370","NTSR2"
"10371","NBAS"
"10372","MYCNOS"
"10373","FAM49A"
"10374","SMC6"
"10375","RDH14"
"10376","OSR1"
"10377","WDR35"
"10378","MATN3"
"10379","LAPTM4A"
"10380","SDC1"
"10381","PUM2"
"10382","NDUFAF2"
"10383","HS1BP3"
"10384","C2orf43"
"10385","APOB"
"10386","ATAD2B"
"10387","C2orf44"
"10388","SF3B14"
"10389","TP53I3"
"10390","PFN4"
"10391","ITSN2"
"10392","ADCY3"
"10393","DNAJC27"
"10394","POMC"
"10395","DNMT3A"
"10396","LOC100131510"
"10397","DTNB"
"10398","ASXL2"
"10399","KIF3C"
"10400","HADHA"
"10401","GPR113"
"10402","OTOF"
"10403","CGREF1"
"10404","PREB"
"10405","C2orf53"
"10406","SLC5A6"
"10407","SLC30A3"
"10408","UCN"
"10409","MPV17"
"10410","GTF3C2"
"10411","EIF2B4"
"10412","ZNF513"
"10413","PPM1G"
"10414","FTH1P3"
"10415","IFT172"
"10416","FNDC4"
"10417","CCDC121"
"10418","SUPT7L"
"10419","RBKS"
"10420","TRMT61B"
"10421","C2orf71"
"10422","ALK"
"10423","CAPN13"
"10424","GALNT14"
"10425","XDH"
"10426","SRD5A2"
"10427","MEMO1"
"10428","DPY30"
"10429","NLRC4"
"10430","FAM98A"
"10431","MYADML"
"10432","FEZ2"
"10433","STRN"
"10434","HEATR5B"
"10435","EIF2AK2"
"10436","CEBPZ"
"10437","PRKD3"
"10438","CDC42EP3"
"10439","CYP1B1"
"10440","ATL2"
"10441","HNRPLL"
"10442","SRSF7"
"10443","DHX57"
"10444","LOC375196"
"10445","SOS1"
"10446","MAP4K3"
"10447","THUMPD2"
"10448","SLC8A1"
"10449","COX7A2L"
"10450","KCNG3"
"10451","OXER1"
"10452","HAAO"
"10453","ZFP36L2"
"10454","THADA"
"10455","LRPPRC"
"10456","PREPL"
"10457","SIX2"
"10458","SRBD1"
"10459","ATP6V1E2"
"10460","PIGF"
"10461","MCFD2"
"10462","C2orf61"
"10463","CALM2"
"10464","KCNK12"
"10465","FBXO11"
"10466","LHCGR"
"10467","NRXN1"
"10468","ASB3"
"10469","GPR75"
"10470","PSME4"
"10471","TSPYL6"
"10472","RTN4"
"10473","C2orf63"
"10474","MTIF2"
"10475","CCDC88A"
"10476","SMEK2"
"10477","PNPT1"
"10478","EFEMP1"
"10479","FANCL"
"10480","BCL11A"
"10481","PUS10"
"10482","LOC339803"
"10483","USP34"
"10484","SNORA70B"
"10485","XPO1"
"10486","FAM161A"
"10487","CCT4"
"10488","TMEM17"
"10489","ELP1P"
"10490","C2orf86"
"10491","VPS54"
"10492","PELI1"
"10493","SERTAD2"
"10494","RAB1A"
"10495","SPRED2"
"10496","WDR92"
"10497","PPP3R1"
"10498","CNRIP1"
"10499","FBXO48"
"10500","GFPT1"
"10501","NFU1"
"10502","AAK1"
"10503","SNORA36C"
"10504","ASPRV1"
"10505","C2orf42"
"10506","TIA1"
"10507","FAM136A"
"10508","TGFA"
"10509","ADD2"
"10510","FIGLA"
"10511","CLEC4F"
"10512","CD207"
"10513","MCEE"
"10514","PAIP2B"
"10515","CYP26B1"
"10516","EXOC6B"
"10517","SFXN5"
"10518","RAB11FIP5"
"10519","C2orf7"
"10520","FBXO41"
"10521","EGR4"
"10522","NAT8"
"10523","NAT8B"
"10524","TPRKB"
"10525","DUSP11"
"10526","BOLA3"
"10527","MOBKL1B"
"10528","SLC4A5"
"10529","DCTN1"
"10530","C2orf81"
"10531","RTKN"
"10532","MOGS"
"10533","MRPL53"
"10534","CCDC142"
"10535","LBX2"
"10536","PCGF1"
"10537","DQX1"
"10538","AUP1"
"10539","LOXL3"
"10540","C2orf65"
"10541","TACR1"
"10542","FAM176A"
"10543","C2orf3"
"10544","LRRTM4"
"10545","LRRTM1"
"10546","SUCLG1"
"10547","C2orf89"
"10548","TGOLN2"
"10549","RETSAT"
"10550","CAPG"
"10551","GGCX"
"10552","TMEM150A"
"10553","C2orf68"
"10554","SFTPB"
"10555","ST3GAL5"
"10556","POLR1A"
"10557","IMMT"
"10558","REEP1"
"10559","VPS24"
"10560","RNF103"
"10561","CD8A"
"10562","KRCC1"
"10563","EIF2AK3"
"10564","LOC654342"
"10565","MRPS5"
"10566","ZNF514"
"10567","LOC400986"
"10568","GPAT2"
"10569","ADRA2B"
"10570","ASTL"
"10571","DUSP2"
"10572","STARD7"
"10573","TMEM127"
"10574","SNRNP200"
"10575","NEURL3"
"10576","KIAA1310"
"10577","LMAN2L"
"10578","ANKRD23"
"10579","ANKRD39"
"10580","SEMA4C"
"10581","FAM178B"
"10582","FAHD2B"
"10583","ACTR1B"
"10584","TMEM131"
"10585","C2orf64"
"10586","MGAT4A"
"10587","C2orf55"
"10588","TSGA10"
"10589","MITD1"
"10590","LYG2"
"10591","LYG1"
"10592","TXNDC9"
"10593","REV1"
"10594","AFF3"
"10595","LONRF2"
"10596","CHST10"
"10597","TBC1D8"
"10598","RNF149"
"10599","CREG2"
"10600","MFSD9"
"10601","TGFBRAP1"
"10602","FHL2"
"10603","UXS1"
"10604","RGPD3"
"10605","ST6GAL2"
"10606","FLJ38668"
"10607","EDAR"
"10608","SEPT10"
"10609","MALL"
"10610","NPHP1"
"10611","NCRNA00116"
"10612","RGPD5"
"10613","BUB1"
"10614","ZC3H8"
"10615","CKAP2L"
"10616","IL1B"
"10617","PAX8"
"10618","DDX11L2"
"10619","RPL23AP7"
"10620","ACR"
"10621","PS1TP4"
"10622","SLC35F5"
"10623","CCDC93"
"10624","EN1"
"10625","C1QL2"
"10626","C2orf76"
"10627","SCTR"
"10628","TMEM185B"
"10629","TFCP2L1"
"10630","CLASP1"
"10631","MKI67IP"
"10632","BIN1"
"10633","CYP27C1"
"10634","ERCC3"
"10635","MAP3K2"
"10636","IWS1"
"10637","LIMS2"
"10638","WDR33"
"10639","POLR2D"
"10640","AMMECR1L"
"10641","SAP130"
"10642","LOC151121"
"10643","LOC440905"
"10644","POTEF"
"10645","TUBA3E"
"10646","CCDC115"
"10647","CFC1"
"10648","FAM168B"
"10649","LOC401010"
"10650","C2orf27B"
"10651","ANKRD30BL"
"10652","LYPD1"
"10653","NCKAP5"
"10654","TMEM163"
"10655","ZRANB3"
"10656","LCT"
"10657","MCM6"
"10658","DARS"
"10659","CXCR4"
"10660","NXPH2"
"10661","LRP1B"
"10662","GTDC1"
"10663","ZEB2"
"10664","ORC4"
"10665","MMADHC"
"10666","RND3"
"10667","RBM43"
"10668","NMI"
"10669","NEB"
"10670","ARL5A"
"10671","CACNB4"
"10672","STAM2"
"10673","LOC100129449"
"10674","PRPF40A"
"10675","RPRM"
"10676","NR4A2"
"10677","FAM133B"
"10678","CYTIP"
"10679","ACVR1C"
"10680","ACVR1"
"10681","WDSUB1"
"10682","BAZ2B"
"10683","CD302"
"10684","LY75"
"10685","PLA2R1"
"10686","ITGB6"
"10687","DPP4"
"10688","FAP"
"10689","IFIH1"
"10690","FIGN"
"10691","GRB14"
"10692","COBLL1"
"10693","SNORA70F"
"10694","SLC38A11"
"10695","SCN3A"
"10696","GALNT3"
"10697","TTC21B"
"10698","SCN9A"
"10699","SCN7A"
"10700","STK39"
"10701","LRP2"
"10702","FASTKD1"
"10703","METTL5"
"10704","LOC440925"
"10705","TLK1"
"10706","METTL8"
"10707","SLC25A12"
"10708","DLX2"
"10709","SP3"
"10710","LOC100129312"
"10711","OLA1"
"10712","SP9"
"10713","CIR1"
"10714","GPR155"
"10715","WIPF1"
"10716","CHRNA1"
"10717","CHN1"
"10718","ATF2"
"10719","ATP5G3"
"10720","KIAA1715"
"10721","EVX2"
"10722","LOC100129455"
"10723","LOC375295"
"10724","NFE2L2"
"10725","LOC100130691"
"10726","TTC30B"
"10727","TTC30A"
"10728","PDE11A"
"10729","PRKRA"
"10730","FKBP7"
"10731","TTN"
"10732","CCDC141"
"10733","SESTD1"
"10734","ZNF385B"
"10735","CWC22"
"10736","CERKL"
"10737","NEUROD1"
"10738","PDE1A"
"10739","FRZB"
"10740","NCKAP1"
"10741","CALCRL"
"10742","TFPI"
"10743","DIRC1"
"10744","COL5A2"
"10745","SLC40A1"
"10746","OSGEPL1"
"10747","ORMDL1"
"10748","HIBCH"
"10749","TMEM194B"
"10750","STAT1"
"10751","STAT4"
"10752","SDPR"
"10753","DNAH7"
"10754","STK17B"
"10755","HECW2"
"10756","GTF3C3"
"10757","C2orf66"
"10758","PGAP1"
"10759","ANKRD44"
"10760","SF3B1"
"10761","HSPD1"
"10762","RFTN2"
"10763","SATB2"
"10764","C2orf60"
"10765","KCTD18"
"10766","CLK1"
"10767","PPIL3"
"10768","ORC2"
"10769","FAM126B"
"10770","ALS2CR12"
"10771","TRAK2"
"10772","ALS2CR4"
"10773","MPP4"
"10774","ALS2"
"10775","SUMO1"
"10776","ICA1L"
"10777","WDR12"
"10778","RAPH1"
"10779","INO80D"
"10780","NDUFS1"
"10781","MDH1B"
"10782","KLF7"
"10783","FAM119A"
"10784","FZD5"
"10785","PLEKHM3"
"10786","CRYGC"
"10787","CRYGA"
"10788","IDH1"
"10789","C2orf67"
"10790","ACADL"
"10791","LANCL1"
"10792","ERBB4"
"10793","IKZF2"
"10794","BARD1"
"10795","ABCA12"
"10796","MREG"
"10797","PECR"
"10798","MARCH4"
"10799","IGFBP5"
"10800","TNP1"
"10801","TNS1"
"10802","CXCR1"
"10803","AAMP"
"10804","TMBIM1"
"10805","USP37"
"10806","ZNF142"
"10807","RNF25"
"10808","PRKAG3"
"10809","FEV"
"10810","CRYBA2"
"10811","MIR375"
"10812","CCDC108"
"10813","IHH"
"10814","NHEJ1"
"10815","SLC23A3"
"10816","C2orf24"
"10817","ABCB6"
"10818","ATG9A"
"10819","GLB1L"
"10820","TUBA4A"
"10821","PTPRN"
"10822","RESP18"
"10823","DNPEP"
"10824","CHPF"
"10825","OBSL1"
"10826","EPHA4"
"10827","PAX3"
"10828","FARSB"
"10829","AP1S3"
"10830","WDFY1"
"10831","SERPINE2"
"10832","FAM124B"
"10833","CUL3"
"10834","DOCK10"
"10835","IRS1"
"10836","COL4A4"
"10837","C2orf83"
"10838","SLC19A3"
"10839","SPHKAP"
"10840","PID1"
"10841","DNER"
"10842","TRIP12"
"10843","SLC16A14"
"10844","SP110"
"10845","GPR55"
"10846","HTR2B"
"10847","NCL"
"10848","SNORA75"
"10849","SNORD82"
"10850","C2orf52"
"10851","NMUR1"
"10852","PDE6D"
"10853","NPPC"
"10854","ECEL1P2"
"10855","ECEL1"
"10856","TIGD1"
"10857","NGEF"
"10858","USP40"
"10859","DNAJB3"
"10860","HJURP"
"10861","MSL3L2"
"10862","ARL4C"
"10863","GBX2"
"10864","ASB18"
"10865","IQCA1"
"10866","LOC93463"
"10867","COL6A3"
"10868","RAB17"
"10869","ILKAP"
"10870","LOC151174"
"10871","HES6"
"10872","PER2"
"10873","FLJ43879"
"10874","HDAC4"
"10875","MGC16025"
"10876","NDUFA10"
"10877","OR6B2"
"10878","PRR21"
"10879","MYEOV2"
"10880","OTOS"
"10881","PP14571"
"10882","ANKMY1"
"10883","KIF1A"
"10884","C2orf54"
"10885","MTERFD2"
"10886","PASK"
"10887","STK25"
"10888","THAP4"
"10889","DTYMK"
"10890","PDCD1"
"10891","DEFB126"
"10892","DEFB132"
"10893","ZCCHC3"
"10894","SOX12"
"10895","NRSN2"
"10896","TRIB3"
"10897","RBCK1"
"10898","FAM110A"
"10899","PSMF1"
"10900","RAD21L1"
"10901","SIRPA"
"10902","STK35"
"10903","TGM3"
"10904","TGM6"
"10905","NOP56"
"10906","SNORA51"
"10907","SNORD57"
"10908","EBF4"
"10909","C20orf141"
"10910","LOC100288797"
"10911","PTPRA"
"10912","GNRH2"
"10913","MRPS26"
"10914","OXT"
"10915","ITPA"
"10916","ATRN"
"10917","HSPA12B"
"10918","CDC25B"
"10919","C20orf29"
"10920","MAVS"
"10921","PANK2"
"10922","SMOX"
"10923","PRNP"
"10924","PRND"
"10925","CDS2"
"10926","LOC643406"
"10927","C20orf196"
"10928","CHGB"
"10929","MCM8"
"10930","CRLS1"
"10931","BMP2"
"10932","PLCB1"
"10933","RNU105B"
"10934","PLCB4"
"10935","C20orf103"
"10936","ANKRD5"
"10937","SNAP25"
"10938","C20orf94"
"10939","BTBD3"
"10940","SPTLC3"
"10941","ISM1"
"10942","C20orf7"
"10943","MACROD2"
"10944","SNRPB2"
"10945","PCSK2"
"10946","DSTN"
"10947","BANF2"
"10948","C20orf72"
"10949","CSRP2BP"
"10950","ZNF133"
"10951","MGC44328"
"10952","POLR3F"
"10953","SEC23B"
"10954","DTD1"
"10955","SLC24A3"
"10956","RIN2"
"10957","NAA20"
"10958","C20orf26"
"10959","INSM1"
"10960","PLK1S1"
"10961","XRN2"
"10962","PAX1"
"10963","SSTR4"
"10964","NXT1"
"10965","GZF1"
"10966","TMEM90B"
"10967","CST7"
"10968","ENTPD6"
"10969","PYGB"
"10970","GINS1"
"10971","LOC100134868"
"10972","FAM182A"
"10973","FRG1B"
"10974","DEFB118"
"10975","DEFB123"
"10976","REM1"
"10977","NCRNA00028"
"10978","HM13"
"10979","ID1"
"10980","COX4I2"
"10981","TPX2"
"10982","MYLK2"
"10983","TTLL9"
"10984","XKR7"
"10985","C20orf160"
"10986","HCK"
"10987","TM9SF4"
"10988","POFUT1"
"10989","KIF3B"
"10990","ASXL1"
"10991","LOC149950"
"10992","DNMT3B"
"10993","MAPRE1"
"10994","BPIL1"
"10995","BPIL3"
"10996","C20orf185"
"10997","C20orf186"
"10998","C20orf70"
"10999","C20orf71"
"11000","PLUNC"
"11001","C20orf114"
"11002","CBFA2T2"
"11003","C20orf144"
"11004","C20orf134"
"11005","ZNF341"
"11006","CHMP4B"
"11007","RALY"
"11008","ASIP"
"11009","ITCH"
"11010","DYNLRB1"
"11011","MAP1LC3A"
"11012","TP53INP2"
"11013","ACSS2"
"11014","MYH7B"
"11015","PROCR"
"11016","MT1P3"
"11017","MMP24"
"11018","GDF5"
"11019","CEP250"
"11020","ERGIC3"
"11021","SPAG4"
"11022","ROMO1"
"11023","RPF2"
"11024","PHF20"
"11025","EPB41L1"
"11026","C20orf4"
"11027","DLGAP4"
"11028","MYL9"
"11029","TGIF2"
"11030","C20orf24"
"11031","SAMHD1"
"11032","RBL1"
"11033","RPN2"
"11034","MANBAL"
"11035","SRC"
"11036","NNAT"
"11037","CTNNBL1"
"11038","VSTM2L"
"11039","RPRD1B"
"11040","BPI"
"11041","LBP"
"11042","SNHG11"
"11043","SNORA60"
"11044","RALGAPB"
"11045","ADIG"
"11046","ARHGAP40"
"11047","SLC32A1"
"11048","ACTR5"
"11049","PPP1R16B"
"11050","FAM83D"
"11051","DHX35"
"11052","TOP1"
"11053","PLCG1"
"11054","LPIN3"
"11055","SRSF6"
"11056","L3MBTL1"
"11057","SGK2"
"11058","IFT52"
"11059","MYBL2"
"11060","TOX2"
"11061","GDAP1L1"
"11062","R3HDML"
"11063","HNF4A"
"11064","TTPAL"
"11065","PKIG"
"11066","WISP2"
"11067","KCNK15"
"11068","YWHAB"
"11069","PABPC1L"
"11070","STK4"
"11071","PI3"
"11072","RBPJL"
"11073","SYS1"
"11074","DBNDD2"
"11075","PIGT"
"11076","WFDC2"
"11077","WFDC10A"
"11078","WFDC13"
"11079","DNTTIP1"
"11080","UBE2C"
"11081","SNX21"
"11082","ZSWIM3"
"11083","ZSWIM1"
"11084","CTSA"
"11085","PCIF1"
"11086","MMP9"
"11087","CD40"
"11088","SLC2A10"
"11089","EYA2"
"11090","LOC100131496"
"11091","NCOA3"
"11092","ARFGEF2"
"11093","CSE1L"
"11094","DDX27"
"11095","NCRNA00275"
"11096","SNORD12C"
"11097","SLC9A8"
"11098","RNF114"
"11099","SNAI1"
"11100","CEBPB"
"11101","LOC284751"
"11102","PTPN1"
"11103","PARD6B"
"11104","BCAS4"
"11105","MOCS3"
"11106","TSHZ2"
"11107","PFDN4"
"11108","DOK5"
"11109","MC3R"
"11110","C20orf108"
"11111","CSTF1"
"11112","CASS4"
"11113","C20orf43"
"11114","C20orf106"
"11115","C20orf107"
"11116","TFAP2C"
"11117","RAE1"
"11118","RBM38"
"11119","PCK1"
"11120","C20orf85"
"11121","RAB22A"
"11122","VAPB"
"11123","MGC4294"
"11124","STX16"
"11125","NPEPL1"
"11126","GNAS"
"11127","TH1L"
"11128","ZNF831"
"11129","EDN3"
"11130","PHACTR3"
"11131","C20orf177"
"11132","CDH26"
"11133","C20orf197"
"11134","LOC284757"
"11135","CDH4"
"11136","LSM14B"
"11137","SS18L1"
"11138","GTPBP5"
"11139","FLJ44790"
"11140","OSBPL2"
"11141","ADRM1"
"11142","RPS21"
"11143","C20orf166"
"11144","SLCO4A1"
"11145","NTSR1"
"11146","C20orf20"
"11147","OGFR"
"11148","COL9A3"
"11149","DPH3P1"
"11150","C20orf11"
"11151","SLC17A9"
"11152","BIRC7"
"11153","ARFGAP1"
"11154","COL20A1"
"11155","PPDPF"
"11156","C20orf195"
"11157","RTEL1"
"11158","ZGPAT"
"11159","LIME1"
"11160","SLC2A4RG"
"11161","TPD52L2"
"11162","C20orf135"
"11163","DNAJC5"
"11164","PRPF6"
"11165","NCRNA00176"
"11166","TCEA2"
"11167","OPRL1"
"11168","MYT1"
"11169","C20orf96"
"11170","TBC1D20"
"11171","CSNK2A1"
"11172","TCF15"
"11173","SRXN1"
"11174","SCRT2"
"11175","C20orf54"
"11176","ANGPT4"
"11177","RSPO4"
"11178","C20orf46"
"11179","SDCBP2"
"11180","FKBP1A"
"11181","NSFL1C"
"11182","SIRPB2"
"11183","SIRPD"
"11184","SIRPB1"
"11185","SIRPG"
"11186","SNRPB"
"11187","ZNF343"
"11188","IDH3B"
"11189","CPXM1"
"11190","FAM113A"
"11191","AVP"
"11192","FASTKD5"
"11193","ProSAPiP1"
"11194","DDRGK1"
"11195","SLC4A11"
"11196","C20orf194"
"11197","GFRA4"
"11198","ADAM33"
"11199","SIGLEC1"
"11200","C20orf27"
"11201","SPEF1"
"11202","CENPB"
"11203","RNF24"
"11204","ADRA1D"
"11205","RASSF2"
"11206","SLC23A2"
"11207","C20orf30"
"11208","PCNA"
"11209","PROKR2"
"11210","LOC149837"
"11211","GPCPD1"
"11212","TRMT6"
"11213","LRRN4"
"11214","FERMT1"
"11215","TMX4"
"11216","PAK7"
"11217","MKKS"
"11218","JAG1"
"11219","C20orf61"
"11220","TASP1"
"11221","ESF1"
"11222","FLRT3"
"11223","LOC613266"
"11224","KIF16B"
"11225","BFSP1"
"11226","RRBP1"
"11227","SNX5"
"11228","OVOL2"
"11229","C20orf12"
"11230","RBBP9"
"11231","LOC100130264"
"11232","CRNKL1"
"11233","LOC643659"
"11234","RALGAPA2"
"11235","NKX2-4"
"11236","NKX2-2"
"11237","FOXA2"
"11238","THBD"
"11239","CD93"
"11240","LOC200261"
"11241","NAPB"
"11242","CST9L"
"11243","CST9"
"11244","CST3"
"11245","CST4"
"11246","CST1"
"11247","CST2"
"11248","CST5"
"11249","GGTLC1"
"11250","C20orf3"
"11251","ACSS1"
"11252","VSX1"
"11253","ABHD12"
"11254","NINL"
"11255","NANP"
"11256","ZNF337"
"11257","DEFB124"
"11258","BCL2L1"
"11259","FOXS1"
"11260","DUSP15"
"11261","PDRG1"
"11262","TSPY26P"
"11263","PLAGL2"
"11264","C20orf112"
"11265","COMMD7"
"11266","SUN5"
"11267","CDK5RAP1"
"11268","SNTA1"
"11269","NECAB3"
"11270","E2F1"
"11271","PXMP4"
"11272","EIF2S2"
"11273","AHCY"
"11274","FLJ38773"
"11275","PIGU"
"11276","NCOA6"
"11277","HMGB3P1"
"11278","GGT7"
"11279","GSS"
"11280","TRPC4AP"
"11281","EDEM2"
"11282","EIF6"
"11283","FAM83C"
"11284","UQCC"
"11285","C20orf173"
"11286","FER1L4"
"11287","CPNE1"
"11288","NFS1"
"11289","RBM39"
"11290","SCAND1"
"11291","SLA2"
"11292","NDRG3"
"11293","DSN1"
"11294","C20orf117"
"11295","C20orf132"
"11296","GHRH"
"11297","BLCAP"
"11298","TTI1"
"11299","TGM2"
"11300","KIAA1755"
"11301","LOC388796"
"11302","SNORA71B"
