"","gene.list"
"640","LELP1"
"641","LOR"
"642","S100A9"
"643","S100A7A"
"644","S100A1"
"645","C1orf77"
"646","SNAPIN"
"647","NPR1"
"648","INTS3"
"649","SLC27A3"
"650","CREB3L4"
"651","UBAP2L"
"652","HAX1"
"653","AQP10"
"654","ATP8B2"
"655","IL6R"
"656","TDRD10"
"657","CHRNB2"
"658","CKS1B"
"659","FLAD1"
"660","LENEP"
"661","ZBTB7B"
"662","DCST1"
"663","ADAM15"
"664","EFNA4"
"665","EFNA3"
"666","EFNA1"
"667","RAG1AP1"
"668","TRIM46"
"669","MTX1"
"670","HCN3"
"671","FDPS"
"672","RUSC1"
"673","POU5F1P4"
"674","MSTO1"
"675","DAP3"
"676","MSTO2P"
"677","SYT11"
"678","RXFP4"
"679","ROBLD3"
"680","RAB25"
"681","LMNA"
"682","SEMA4A"
"683","SLC25A44"
"684","PMF1"
"685","BGLAP"
"686","TMEM79"
"687","RHBG"
"688","TTC24"
"689","APOA1BP"
"690","GPATCH4"
"691","HAPLN2"
"692","BCAN"
"693","C1orf66"
"694","PRCC"
"695","NTRK1"
"696","PEAR1"
"697","C1orf92"
"698","KIRREL"
"699","CD1D"
"700","CD1A"
"701","CD1C"
"702","CD1E"
"703","OR10Z1"
"704","OR6K6"
"705","MNDA"
"706","PYHIN1"
"707","IFI16"
"708","CADM3"
"709","DARC"
"710","FCER1A"
"711","OR10J1"
"712","DUSP23"
"713","FCRL6"
"714","SLAMF8"
"715","KCNJ9"
"716","ATP1A2"
"717","ATP1A4"
"718","CASQ1"
"719","PEA15"
"720","NCSTN"
"721","NHLH1"
"722","VANGL2"
"723","SLAMF7"
"724","LY9"
"725","KLHDC9"
"726","NIT1"
"727","UFC1"
"728","USP21"
"729","PPOX"
"730","NDUFS2"
"731","FCER1G"
"732","TOMM40L"
"733","PCP4L1"
"734","SDHC"
"735","FCGR2A"
"736","HSPA6"
"737","FCGR2C"
"738","HSPA7"
"739","FCGR2B"
"740","FCRLA"
"741","FCRLB"
"742","DUSP12"
"743","ATF6"
"744","NOS1AP"
"745","UHMK1"
"746","UAP1"
"747","DDR2"
"748","HSD17B7"
"749","RGS4"
"750","NUF2"
"751","PBX1"
"752","MGST3"
"753","ALDH9A1"
"754","UCK2"
"755","POGK"
"756","DUSP27"
"757","POU2F1"
"758","RCSD1"
"759","LOC100128751"
"760","MPZL1"
"761","DCAF6"
