"metabolites","totpathways","hmdb","kegg","wiki","reac","Synonym"
"RAMP_C_000053579",1,1,0,0,0,NA
"RAMP_C_000053583",1,1,0,0,0,NA
"RAMP_C_000053586",1,1,0,0,0,NA
"RAMP_C_000053590",1,1,0,0,0,NA
"RAMP_C_000053609",1,1,0,0,0,NA
"RAMP_C_000053626",1,1,0,0,0,NA
"RAMP_C_000053642",1,1,0,0,0,NA
"RAMP_C_000053685",1,1,0,0,0,NA
"RAMP_C_000053688",1,1,0,0,0,NA
"RAMP_C_000053690",1,1,0,0,0,NA
"RAMP_C_000053721",1,1,0,0,0,NA
"RAMP_C_000053722",1,1,0,0,0,NA
"RAMP_C_000053735",1,1,0,0,0,NA
"RAMP_C_000053751",1,1,0,0,0,NA
"RAMP_C_000053771",1,1,0,0,0,NA
"RAMP_C_000053790",1,1,0,0,0,NA
"RAMP_C_000053796",1,1,0,0,0,NA
"RAMP_C_000053807",1,1,0,0,0,NA
"RAMP_C_000053812",1,1,0,0,0,NA
"RAMP_C_000053839",1,1,0,0,0,NA
"RAMP_C_000053847",1,1,0,0,0,NA
"RAMP_C_000053850",1,1,0,0,0,NA
"RAMP_C_000053857",1,1,0,0,0,NA
"RAMP_C_000053860",1,1,0,0,0,NA
"RAMP_C_000053874",1,1,0,0,0,NA
"RAMP_C_000053908",1,1,0,0,0,NA
"RAMP_C_000053910",1,1,0,0,0,NA
"RAMP_C_000053959",1,1,0,0,0,NA
"RAMP_C_000053981",1,1,0,0,0,NA
"RAMP_C_000053986",1,1,0,0,0,NA
"RAMP_C_000054001",1,1,0,0,0,NA
"RAMP_C_000054010",1,1,0,0,0,NA
"RAMP_C_000054011",1,1,0,0,0,NA
"RAMP_C_000054016",1,1,0,0,0,NA
"RAMP_C_000054026",1,1,0,0,0,NA
"RAMP_C_000054088",1,1,0,0,0,NA
"RAMP_C_000054102",1,1,0,0,0,NA
"RAMP_C_000054110",1,1,0,0,0,NA
"RAMP_C_000054112",1,1,0,0,0,NA
"RAMP_C_000054113",1,1,0,0,0,NA
"RAMP_C_000054123",1,1,0,0,0,NA
"RAMP_C_000054159",1,1,0,0,0,NA
"RAMP_C_000054171",1,1,0,0,0,NA
"RAMP_C_000054195",1,1,0,0,0,NA
"RAMP_C_000054199",1,1,0,0,0,NA
"RAMP_C_000054220",1,1,0,0,0,NA
"RAMP_C_000054230",1,1,0,0,0,NA
"RAMP_C_000054242",1,1,0,0,0,NA
"RAMP_C_000054266",1,1,0,0,0,NA
"RAMP_C_000054317",1,1,0,0,0,NA
"RAMP_C_000054319",1,1,0,0,0,NA
"RAMP_C_000054329",1,1,0,0,0,NA
"RAMP_C_000054359",1,1,0,0,0,NA
"RAMP_C_000054372",1,1,0,0,0,NA
"RAMP_C_000054373",1,1,0,0,0,NA
"RAMP_C_000054382",1,1,0,0,0,NA
"RAMP_C_000054386",1,1,0,0,0,NA
"RAMP_C_000054387",1,1,0,0,0,NA
"RAMP_C_000054391",1,1,0,0,0,NA
"RAMP_C_000054416",1,1,0,0,0,NA
"RAMP_C_000054417",1,1,0,0,0,NA
"RAMP_C_000054428",1,1,0,0,0,NA
"RAMP_C_000054433",1,1,0,0,0,NA
"RAMP_C_000054440",1,1,0,0,0,NA
"RAMP_C_000054445",1,1,0,0,0,NA
"RAMP_C_000054453",1,1,0,0,0,NA
"RAMP_C_000054456",1,1,0,0,0,NA
"RAMP_C_000054459",1,1,0,0,0,NA
"RAMP_C_000054462",1,1,0,0,0,NA
"RAMP_C_000054474",1,1,0,0,0,NA
"RAMP_C_000054478",1,1,0,0,0,NA
"RAMP_C_000054501",1,1,0,0,0,NA
"RAMP_C_000054510",1,1,0,0,0,NA
"RAMP_C_000054514",1,1,0,0,0,NA
"RAMP_C_000054515",1,1,0,0,0,NA
"RAMP_C_000054552",1,1,0,0,0,NA
"RAMP_C_000054557",1,1,0,0,0,NA
"RAMP_C_000054583",1,1,0,0,0,NA
"RAMP_C_000054592",1,1,0,0,0,NA
"RAMP_C_000054603",1,1,0,0,0,NA
"RAMP_C_000054630",1,1,0,0,0,NA
"RAMP_C_000054682",1,1,0,0,0,NA
"RAMP_C_000054698",1,1,0,0,0,NA
"RAMP_C_000054700",1,1,0,0,0,NA
"RAMP_C_000054704",1,1,0,0,0,NA
"RAMP_C_000054715",1,1,0,0,0,NA
"RAMP_C_000054728",1,1,0,0,0,NA
"RAMP_C_000054741",1,1,0,0,0,NA
"RAMP_C_000054751",1,1,0,0,0,NA
"RAMP_C_000054753",1,1,0,0,0,NA
"RAMP_C_000054755",1,1,0,0,0,NA
"RAMP_C_000054766",1,1,0,0,0,NA
"RAMP_C_000054767",1,1,0,0,0,NA
"RAMP_C_000054770",1,1,0,0,0,NA
"RAMP_C_000054785",1,1,0,0,0,NA
"RAMP_C_000054788",1,1,0,0,0,NA
"RAMP_C_000054813",1,1,0,0,0,NA
"RAMP_C_000054827",1,1,0,0,0,NA
"RAMP_C_000054832",1,1,0,0,0,NA
"RAMP_C_000054834",1,1,0,0,0,NA
"RAMP_C_000054840",1,1,0,0,0,NA
"RAMP_C_000054842",1,1,0,0,0,NA
"RAMP_C_000054847",1,1,0,0,0,NA
"RAMP_C_000054862",1,1,0,0,0,NA
"RAMP_C_000054895",1,1,0,0,0,NA
"RAMP_C_000054901",1,1,0,0,0,NA
"RAMP_C_000054902",1,1,0,0,0,NA
"RAMP_C_000054905",1,1,0,0,0,NA
"RAMP_C_000054912",1,1,0,0,0,NA
"RAMP_C_000054914",1,1,0,0,0,NA
"RAMP_C_000054916",1,1,0,0,0,NA
"RAMP_C_000054920",1,1,0,0,0,NA
"RAMP_C_000054931",1,1,0,0,0,NA
"RAMP_C_000054934",1,1,0,0,0,NA
"RAMP_C_000054940",1,1,0,0,0,NA
"RAMP_C_000054944",1,1,0,0,0,NA
"RAMP_C_000054945",1,1,0,0,0,NA
"RAMP_C_000054947",1,1,0,0,0,NA
"RAMP_C_000054950",1,1,0,0,0,NA
"RAMP_C_000054952",1,1,0,0,0,NA
"RAMP_C_000054955",1,1,0,0,0,NA
"RAMP_C_000054969",1,1,0,0,0,NA
"RAMP_C_000054973",1,1,0,0,0,NA
"RAMP_C_000054974",1,1,0,0,0,NA
"RAMP_C_000054990",1,1,0,0,0,NA
"RAMP_C_000055005",1,1,0,0,0,NA
"RAMP_C_000055014",1,1,0,0,0,NA
"RAMP_C_000055031",1,1,0,0,0,NA
"RAMP_C_000055043",1,1,0,0,0,NA
"RAMP_C_000055056",1,1,0,0,0,NA
"RAMP_C_000055059",1,1,0,0,0,NA
"RAMP_C_000055067",1,1,0,0,0,NA
"RAMP_C_000055079",1,1,0,0,0,NA
"RAMP_C_000055082",1,1,0,0,0,NA
"RAMP_C_000055084",1,1,0,0,0,NA
"RAMP_C_000055086",1,1,0,0,0,NA
"RAMP_C_000055099",1,1,0,0,0,NA
"RAMP_C_000055105",1,1,0,0,0,NA
"RAMP_C_000055114",1,1,0,0,0,NA
"RAMP_C_000055131",1,1,0,0,0,NA
"RAMP_C_000055151",1,1,0,0,0,NA
"RAMP_C_000055152",1,1,0,0,0,NA
"RAMP_C_000055157",1,1,0,0,0,NA
"RAMP_C_000055162",1,1,0,0,0,NA
"RAMP_C_000055177",1,1,0,0,0,NA
"RAMP_C_000055200",1,1,0,0,0,NA
"RAMP_C_000055242",1,1,0,0,0,NA
"RAMP_C_000055244",1,1,0,0,0,NA
"RAMP_C_000055256",1,1,0,0,0,NA
"RAMP_C_000055281",1,1,0,0,0,NA
"RAMP_C_000055286",1,1,0,0,0,NA
"RAMP_C_000055298",1,1,0,0,0,NA
"RAMP_C_000055303",1,1,0,0,0,NA
"RAMP_C_000055308",1,1,0,0,0,NA
"RAMP_C_000055310",1,1,0,0,0,NA
"RAMP_C_000055312",1,1,0,0,0,NA
"RAMP_C_000055330",1,1,0,0,0,NA
"RAMP_C_000055333",1,1,0,0,0,NA
"RAMP_C_000055354",1,1,0,0,0,NA
"RAMP_C_000055369",1,1,0,0,0,NA
"RAMP_C_000055387",1,1,0,0,0,NA
"RAMP_C_000055410",1,1,0,0,0,NA
"RAMP_C_000055411",1,1,0,0,0,NA
"RAMP_C_000055417",1,1,0,0,0,NA
"RAMP_C_000055446",1,1,0,0,0,NA
"RAMP_C_000055478",1,1,0,0,0,NA
"RAMP_C_000055495",1,1,0,0,0,NA
"RAMP_C_000055496",1,1,0,0,0,NA
"RAMP_C_000055525",1,1,0,0,0,NA
"RAMP_C_000055559",1,1,0,0,0,NA
"RAMP_C_000055598",1,1,0,0,0,NA
"RAMP_C_000055614",1,1,0,0,0,NA
"RAMP_C_000055639",1,1,0,0,0,NA
"RAMP_C_000055680",1,1,0,0,0,NA
"RAMP_C_000055683",1,1,0,0,0,NA
"RAMP_C_000055695",1,1,0,0,0,NA
"RAMP_C_000055700",1,1,0,0,0,NA
"RAMP_C_000055709",1,1,0,0,0,NA
"RAMP_C_000055710",1,1,0,0,0,NA
"RAMP_C_000055729",1,1,0,0,0,NA
"RAMP_C_000055740",1,1,0,0,0,NA
"RAMP_C_000055756",1,1,0,0,0,NA
"RAMP_C_000055760",1,1,0,0,0,NA
"RAMP_C_000055766",1,1,0,0,0,NA
"RAMP_C_000055771",1,1,0,0,0,NA
"RAMP_C_000055772",1,1,0,0,0,NA
"RAMP_C_000055776",1,1,0,0,0,NA
"RAMP_C_000055843",1,1,0,0,0,NA
"RAMP_C_000055847",1,1,0,0,0,NA
"RAMP_C_000055858",1,1,0,0,0,NA
"RAMP_C_000055887",1,1,0,0,0,NA
"RAMP_C_000055905",1,1,0,0,0,NA
"RAMP_C_000055919",1,1,0,0,0,NA
"RAMP_C_000055937",1,1,0,0,0,NA
"RAMP_C_000055940",1,1,0,0,0,NA
"RAMP_C_000055941",1,1,0,0,0,NA
"RAMP_C_000055947",1,1,0,0,0,NA
"RAMP_C_000055957",1,1,0,0,0,NA
"RAMP_C_000055982",1,1,0,0,0,NA
"RAMP_C_000056000",1,1,0,0,0,NA
"RAMP_C_000056004",1,1,0,0,0,NA
"RAMP_C_000056011",1,1,0,0,0,NA
"RAMP_C_000056015",1,1,0,0,0,NA
"RAMP_C_000056018",1,1,0,0,0,NA
"RAMP_C_000056042",1,1,0,0,0,NA
"RAMP_C_000056055",1,1,0,0,0,NA
"RAMP_C_000056064",1,1,0,0,0,NA
"RAMP_C_000056076",1,1,0,0,0,NA
"RAMP_C_000056078",1,1,0,0,0,NA
"RAMP_C_000056081",1,1,0,0,0,NA
"RAMP_C_000056098",1,1,0,0,0,NA
"RAMP_C_000056099",1,1,0,0,0,NA
"RAMP_C_000056104",1,1,0,0,0,NA
"RAMP_C_000056113",1,1,0,0,0,NA
"RAMP_C_000056118",1,1,0,0,0,NA
"RAMP_C_000056126",1,1,0,0,0,NA
"RAMP_C_000056138",1,1,0,0,0,NA
"RAMP_C_000056183",1,1,0,0,0,NA
"RAMP_C_000056188",1,1,0,0,0,NA
"RAMP_C_000056192",1,1,0,0,0,NA
"RAMP_C_000056214",1,1,0,0,0,NA
"RAMP_C_000056218",1,1,0,0,0,NA
"RAMP_C_000056219",1,1,0,0,0,NA
"RAMP_C_000056240",1,1,0,0,0,NA
"RAMP_C_000056243",1,1,0,0,0,NA
"RAMP_C_000056250",1,1,0,0,0,NA
"RAMP_C_000056277",1,1,0,0,0,NA
"RAMP_C_000056285",1,1,0,0,0,NA
"RAMP_C_000056292",1,1,0,0,0,NA
"RAMP_C_000056305",1,1,0,0,0,NA
"RAMP_C_000056331",1,1,0,0,0,NA
"RAMP_C_000056333",1,1,0,0,0,NA
"RAMP_C_000056334",1,1,0,0,0,NA
"RAMP_C_000056356",1,1,0,0,0,NA
"RAMP_C_000056388",1,1,0,0,0,NA
"RAMP_C_000056392",1,1,0,0,0,NA
"RAMP_C_000056446",1,1,0,0,0,NA
"RAMP_C_000056485",1,1,0,0,0,NA
"RAMP_C_000056490",1,1,0,0,0,NA
"RAMP_C_000056500",1,1,0,0,0,NA
"RAMP_C_000056512",1,1,0,0,0,NA
"RAMP_C_000056518",1,1,0,0,0,NA
"RAMP_C_000056532",1,1,0,0,0,NA
"RAMP_C_000056546",1,1,0,0,0,NA
"RAMP_C_000056552",1,1,0,0,0,NA
"RAMP_C_000056556",1,1,0,0,0,NA
"RAMP_C_000056558",1,1,0,0,0,NA
"RAMP_C_000056576",1,1,0,0,0,NA
"RAMP_C_000056629",1,1,0,0,0,NA
"RAMP_C_000056639",1,1,0,0,0,NA
"RAMP_C_000056657",1,1,0,0,0,NA
"RAMP_C_000056659",1,1,0,0,0,NA
"RAMP_C_000056667",1,1,0,0,0,NA
"RAMP_C_000056683",1,1,0,0,0,NA
"RAMP_C_000056694",1,1,0,0,0,NA
"RAMP_C_000056698",1,1,0,0,0,NA
"RAMP_C_000056709",1,1,0,0,0,NA
"RAMP_C_000056717",1,1,0,0,0,NA
"RAMP_C_000056761",1,1,0,0,0,NA
"RAMP_C_000056763",1,1,0,0,0,NA
"RAMP_C_000056770",1,1,0,0,0,NA
"RAMP_C_000056777",1,1,0,0,0,NA
"RAMP_C_000056789",1,1,0,0,0,NA
"RAMP_C_000056798",1,1,0,0,0,NA
"RAMP_C_000056810",1,1,0,0,0,NA
"RAMP_C_000056847",1,1,0,0,0,NA
"RAMP_C_000056853",1,1,0,0,0,NA
"RAMP_C_000056860",1,1,0,0,0,NA
"RAMP_C_000056884",1,1,0,0,0,NA
"RAMP_C_000056898",1,1,0,0,0,NA
"RAMP_C_000056938",1,1,0,0,0,NA
"RAMP_C_000056960",1,1,0,0,0,NA
"RAMP_C_000056981",1,1,0,0,0,NA
"RAMP_C_000056985",1,1,0,0,0,NA
"RAMP_C_000056992",1,1,0,0,0,NA
"RAMP_C_000057005",1,1,0,0,0,NA
"RAMP_C_000057022",1,1,0,0,0,NA
"RAMP_C_000057036",1,1,0,0,0,NA
"RAMP_C_000057052",1,1,0,0,0,NA
"RAMP_C_000057056",1,1,0,0,0,NA
"RAMP_C_000057105",1,1,0,0,0,NA
"RAMP_C_000057116",1,1,0,0,0,NA
"RAMP_C_000057138",1,1,0,0,0,NA
"RAMP_C_000057142",1,1,0,0,0,NA
"RAMP_C_000057148",1,1,0,0,0,NA
"RAMP_C_000057157",1,1,0,0,0,NA
"RAMP_C_000057169",1,1,0,0,0,NA
"RAMP_C_000057182",1,1,0,0,0,NA
"RAMP_C_000057190",1,1,0,0,0,NA
"RAMP_C_000057191",1,1,0,0,0,NA
"RAMP_C_000057216",1,1,0,0,0,NA
"RAMP_C_000057223",1,1,0,0,0,NA
"RAMP_C_000057228",1,1,0,0,0,NA
"RAMP_C_000057231",1,1,0,0,0,NA
"RAMP_C_000057252",1,1,0,0,0,NA
"RAMP_C_000057253",1,1,0,0,0,NA
"RAMP_C_000057264",1,1,0,0,0,NA
"RAMP_C_000057273",1,1,0,0,0,NA
"RAMP_C_000057284",1,1,0,0,0,NA
"RAMP_C_000057299",1,1,0,0,0,NA
"RAMP_C_000057326",1,1,0,0,0,NA
"RAMP_C_000057332",1,1,0,0,0,NA
"RAMP_C_000057344",1,1,0,0,0,NA
"RAMP_C_000057355",1,1,0,0,0,NA
"RAMP_C_000057378",1,1,0,0,0,NA
"RAMP_C_000057404",1,1,0,0,0,NA
"RAMP_C_000057412",1,1,0,0,0,NA
"RAMP_C_000057436",1,1,0,0,0,NA
"RAMP_C_000057437",1,1,0,0,0,NA
"RAMP_C_000057450",1,1,0,0,0,NA
"RAMP_C_000057459",1,1,0,0,0,NA
"RAMP_C_000057466",1,1,0,0,0,NA
"RAMP_C_000057467",1,1,0,0,0,NA
"RAMP_C_000057478",1,1,0,0,0,NA
"RAMP_C_000057481",1,1,0,0,0,NA
"RAMP_C_000057490",1,1,0,0,0,NA
"RAMP_C_000057499",1,1,0,0,0,NA
"RAMP_C_000057506",1,1,0,0,0,NA
"RAMP_C_000057510",1,1,0,0,0,NA
"RAMP_C_000057513",1,1,0,0,0,NA
"RAMP_C_000057521",1,1,0,0,0,NA
"RAMP_C_000057528",1,1,0,0,0,NA
"RAMP_C_000057539",1,1,0,0,0,NA
"RAMP_C_000057551",1,1,0,0,0,NA
"RAMP_C_000057563",1,1,0,0,0,NA
"RAMP_C_000057600",1,1,0,0,0,NA
"RAMP_C_000057632",1,1,0,0,0,NA
"RAMP_C_000057633",1,1,0,0,0,NA
"RAMP_C_000057636",1,1,0,0,0,NA
"RAMP_C_000057640",1,1,0,0,0,NA
"RAMP_C_000057648",1,1,0,0,0,NA
"RAMP_C_000057661",1,1,0,0,0,NA
"RAMP_C_000057664",1,1,0,0,0,NA
"RAMP_C_000057669",1,1,0,0,0,NA
"RAMP_C_000057673",1,1,0,0,0,NA
"RAMP_C_000057688",1,1,0,0,0,NA
"RAMP_C_000057693",1,1,0,0,0,NA
"RAMP_C_000057697",1,1,0,0,0,NA
"RAMP_C_000057698",1,1,0,0,0,NA
"RAMP_C_000057706",1,1,0,0,0,NA
"RAMP_C_000057712",1,1,0,0,0,NA
"RAMP_C_000057715",1,1,0,0,0,NA
"RAMP_C_000057720",1,1,0,0,0,NA
"RAMP_C_000057745",1,1,0,0,0,NA
"RAMP_C_000057774",1,1,0,0,0,NA
"RAMP_C_000057780",1,1,0,0,0,NA
"RAMP_C_000057798",1,1,0,0,0,NA
"RAMP_C_000057812",1,1,0,0,0,NA
"RAMP_C_000057824",1,1,0,0,0,NA
"RAMP_C_000057830",1,1,0,0,0,NA
"RAMP_C_000057833",1,1,0,0,0,NA
"RAMP_C_000057839",1,1,0,0,0,NA
"RAMP_C_000057849",1,1,0,0,0,NA
"RAMP_C_000057866",1,1,0,0,0,NA
"RAMP_C_000057880",1,1,0,0,0,NA
"RAMP_C_000057893",1,1,0,0,0,NA
"RAMP_C_000057954",1,1,0,0,0,NA
"RAMP_C_000057966",1,1,0,0,0,NA
"RAMP_C_000057975",1,1,0,0,0,NA
"RAMP_C_000058024",1,1,0,0,0,NA
"RAMP_C_000058038",1,1,0,0,0,NA
"RAMP_C_000058055",1,1,0,0,0,NA
"RAMP_C_000058091",1,1,0,0,0,NA
"RAMP_C_000058097",1,1,0,0,0,NA
"RAMP_C_000058140",1,1,0,0,0,NA
"RAMP_C_000058164",1,1,0,0,0,NA
"RAMP_C_000058167",1,1,0,0,0,NA
"RAMP_C_000058176",1,1,0,0,0,NA
"RAMP_C_000058200",1,1,0,0,0,NA
"RAMP_C_000058238",1,1,0,0,0,NA
"RAMP_C_000058243",1,1,0,0,0,NA
"RAMP_C_000058249",1,1,0,0,0,NA
"RAMP_C_000058305",1,1,0,0,0,NA
"RAMP_C_000058329",1,1,0,0,0,NA
"RAMP_C_000058341",1,1,0,0,0,NA
"RAMP_C_000058358",1,1,0,0,0,NA
"RAMP_C_000058374",1,1,0,0,0,NA
"RAMP_C_000058389",1,1,0,0,0,NA
"RAMP_C_000058405",1,1,0,0,0,NA
"RAMP_C_000058419",1,1,0,0,0,NA
"RAMP_C_000058420",1,1,0,0,0,NA
"RAMP_C_000058444",1,1,0,0,0,NA
"RAMP_C_000058470",1,1,0,0,0,NA
"RAMP_C_000058478",1,1,0,0,0,NA
"RAMP_C_000058489",1,1,0,0,0,NA
"RAMP_C_000058496",1,1,0,0,0,NA
"RAMP_C_000058498",1,1,0,0,0,NA
"RAMP_C_000058524",1,1,0,0,0,NA
"RAMP_C_000058526",1,1,0,0,0,NA
"RAMP_C_000058579",1,1,0,0,0,NA
"RAMP_C_000058599",1,1,0,0,0,NA
"RAMP_C_000058610",1,1,0,0,0,NA
"RAMP_C_000058620",1,1,0,0,0,NA
"RAMP_C_000058653",1,1,0,0,0,NA
"RAMP_C_000058670",1,1,0,0,0,NA
"RAMP_C_000058693",1,1,0,0,0,NA
"RAMP_C_000058698",1,1,0,0,0,NA
"RAMP_C_000058709",1,1,0,0,0,NA
"RAMP_C_000058738",1,1,0,0,0,NA
"RAMP_C_000058754",1,1,0,0,0,NA
"RAMP_C_000058766",1,1,0,0,0,NA
"RAMP_C_000058796",1,1,0,0,0,NA
"RAMP_C_000058802",1,1,0,0,0,NA
"RAMP_C_000058824",1,1,0,0,0,NA
"RAMP_C_000058827",1,1,0,0,0,NA
"RAMP_C_000058842",1,1,0,0,0,NA
"RAMP_C_000058855",1,1,0,0,0,NA
"RAMP_C_000058886",1,1,0,0,0,NA
"RAMP_C_000058898",1,1,0,0,0,NA
"RAMP_C_000058906",1,1,0,0,0,NA
"RAMP_C_000058964",1,1,0,0,0,NA
"RAMP_C_000058986",1,1,0,0,0,NA
"RAMP_C_000058991",1,1,0,0,0,NA
"RAMP_C_000059010",1,1,0,0,0,NA
"RAMP_C_000059011",1,1,0,0,0,NA
"RAMP_C_000059014",1,1,0,0,0,NA
"RAMP_C_000059029",1,1,0,0,0,NA
"RAMP_C_000059031",1,1,0,0,0,NA
"RAMP_C_000059033",1,1,0,0,0,NA
"RAMP_C_000059048",1,1,0,0,0,NA
"RAMP_C_000059059",1,1,0,0,0,NA
"RAMP_C_000059089",1,1,0,0,0,NA
"RAMP_C_000059115",1,1,0,0,0,NA
"RAMP_C_000059117",1,1,0,0,0,NA
"RAMP_C_000059120",1,1,0,0,0,NA
"RAMP_C_000059127",1,1,0,0,0,NA
"RAMP_C_000059160",1,1,0,0,0,NA
"RAMP_C_000059173",1,1,0,0,0,NA
"RAMP_C_000059202",1,1,0,0,0,NA
"RAMP_C_000059207",1,1,0,0,0,NA
"RAMP_C_000059240",1,1,0,0,0,NA
"RAMP_C_000059245",1,1,0,0,0,NA
"RAMP_C_000059250",1,1,0,0,0,NA
"RAMP_C_000059253",1,1,0,0,0,NA
"RAMP_C_000059273",1,1,0,0,0,NA
"RAMP_C_000059319",1,1,0,0,0,NA
"RAMP_C_000059334",1,1,0,0,0,NA
"RAMP_C_000059345",1,1,0,0,0,NA
"RAMP_C_000059372",1,1,0,0,0,NA
"RAMP_C_000059394",1,1,0,0,0,NA
"RAMP_C_000059398",1,1,0,0,0,NA
"RAMP_C_000059407",1,1,0,0,0,NA
"RAMP_C_000059422",1,1,0,0,0,NA
"RAMP_C_000059440",1,1,0,0,0,NA
"RAMP_C_000059447",1,1,0,0,0,NA
"RAMP_C_000059450",1,1,0,0,0,NA
"RAMP_C_000059474",1,1,0,0,0,NA
"RAMP_C_000059475",1,1,0,0,0,NA
"RAMP_C_000059478",1,1,0,0,0,NA
"RAMP_C_000059485",1,1,0,0,0,NA
"RAMP_C_000059487",1,1,0,0,0,NA
"RAMP_C_000059507",1,1,0,0,0,NA
"RAMP_C_000059557",1,1,0,0,0,NA
"RAMP_C_000059565",1,1,0,0,0,NA
"RAMP_C_000059570",1,1,0,0,0,NA
"RAMP_C_000059578",1,1,0,0,0,NA
"RAMP_C_000059583",1,1,0,0,0,NA
"RAMP_C_000059628",1,1,0,0,0,NA
"RAMP_C_000059648",1,1,0,0,0,NA
"RAMP_C_000059656",1,1,0,0,0,NA
"RAMP_C_000059664",1,1,0,0,0,NA
"RAMP_C_000059668",1,1,0,0,0,NA
"RAMP_C_000059669",1,1,0,0,0,NA
"RAMP_C_000059671",1,1,0,0,0,NA
"RAMP_C_000059698",1,1,0,0,0,NA
"RAMP_C_000059702",1,1,0,0,0,NA
"RAMP_C_000059731",1,1,0,0,0,NA
"RAMP_C_000059746",1,1,0,0,0,NA
"RAMP_C_000059757",1,1,0,0,0,NA
"RAMP_C_000059784",1,1,0,0,0,NA
"RAMP_C_000059811",1,1,0,0,0,NA
"RAMP_C_000059829",1,1,0,0,0,NA
"RAMP_C_000059837",1,1,0,0,0,NA
"RAMP_C_000059853",1,1,0,0,0,NA
"RAMP_C_000059860",1,1,0,0,0,NA
"RAMP_C_000059871",1,1,0,0,0,NA
"RAMP_C_000059874",1,1,0,0,0,NA
"RAMP_C_000059896",1,1,0,0,0,NA
"RAMP_C_000059920",1,1,0,0,0,NA
"RAMP_C_000059924",1,1,0,0,0,NA
"RAMP_C_000059941",1,1,0,0,0,NA
"RAMP_C_000059973",1,1,0,0,0,NA
"RAMP_C_000059974",1,1,0,0,0,NA
"RAMP_C_000059985",1,1,0,0,0,NA
"RAMP_C_000059995",1,1,0,0,0,NA
"RAMP_C_000060014",1,1,0,0,0,NA
"RAMP_C_000060020",1,1,0,0,0,NA
"RAMP_C_000060030",1,1,0,0,0,NA
"RAMP_C_000060035",1,1,0,0,0,NA
"RAMP_C_000060038",1,1,0,0,0,NA
"RAMP_C_000060045",1,1,0,0,0,NA
"RAMP_C_000060052",1,1,0,0,0,NA
"RAMP_C_000060063",1,1,0,0,0,NA
"RAMP_C_000060075",1,1,0,0,0,NA
"RAMP_C_000060084",1,1,0,0,0,NA
"RAMP_C_000060086",1,1,0,0,0,NA
"RAMP_C_000060088",1,1,0,0,0,NA
"RAMP_C_000060097",1,1,0,0,0,NA
"RAMP_C_000060100",1,1,0,0,0,NA
"RAMP_C_000060126",1,1,0,0,0,NA
"RAMP_C_000060128",1,1,0,0,0,NA
"RAMP_C_000060135",1,1,0,0,0,NA
"RAMP_C_000060137",1,1,0,0,0,NA
"RAMP_C_000060161",1,1,0,0,0,NA
"RAMP_C_000060165",1,1,0,0,0,NA
"RAMP_C_000060177",1,1,0,0,0,NA
"RAMP_C_000060197",1,1,0,0,0,NA
"RAMP_C_000060215",1,1,0,0,0,NA
"RAMP_C_000060220",1,1,0,0,0,NA
"RAMP_C_000060248",1,1,0,0,0,NA
"RAMP_C_000060253",1,1,0,0,0,NA
"RAMP_C_000060258",1,1,0,0,0,NA
"RAMP_C_000060270",1,1,0,0,0,NA
"RAMP_C_000060273",1,1,0,0,0,NA
"RAMP_C_000060274",1,1,0,0,0,NA
"RAMP_C_000060282",1,1,0,0,0,NA
"RAMP_C_000060291",1,1,0,0,0,NA
"RAMP_C_000060345",1,1,0,0,0,NA
"RAMP_C_000060353",1,1,0,0,0,NA
"RAMP_C_000060359",1,1,0,0,0,NA
"RAMP_C_000060367",1,1,0,0,0,NA
"RAMP_C_000060408",1,1,0,0,0,NA
"RAMP_C_000060415",1,1,0,0,0,NA
"RAMP_C_000060419",1,1,0,0,0,NA
"RAMP_C_000060424",1,1,0,0,0,NA
"RAMP_C_000060429",1,1,0,0,0,NA
"RAMP_C_000060447",1,1,0,0,0,NA
"RAMP_C_000060453",1,1,0,0,0,NA
"RAMP_C_000060458",1,1,0,0,0,NA
"RAMP_C_000060460",1,1,0,0,0,NA
"RAMP_C_000060461",1,1,0,0,0,NA
"RAMP_C_000060473",1,1,0,0,0,NA
"RAMP_C_000060478",1,1,0,0,0,NA
"RAMP_C_000060482",1,1,0,0,0,NA
"RAMP_C_000060513",1,1,0,0,0,NA
"RAMP_C_000060543",1,1,0,0,0,NA
"RAMP_C_000060545",1,1,0,0,0,NA
"RAMP_C_000060575",1,1,0,0,0,NA
"RAMP_C_000060589",1,1,0,0,0,NA
"RAMP_C_000060615",1,1,0,0,0,NA
"RAMP_C_000060637",1,1,0,0,0,NA
"RAMP_C_000060673",1,1,0,0,0,NA
"RAMP_C_000060691",1,1,0,0,0,NA
"RAMP_C_000060713",1,1,0,0,0,NA
"RAMP_C_000060715",1,1,0,0,0,NA
"RAMP_C_000060726",1,1,0,0,0,NA
"RAMP_C_000060742",1,1,0,0,0,NA
"RAMP_C_000060744",1,1,0,0,0,NA
"RAMP_C_000060762",1,1,0,0,0,NA
"RAMP_C_000060795",1,1,0,0,0,NA
"RAMP_C_000060812",1,1,0,0,0,NA
"RAMP_C_000060820",1,1,0,0,0,NA
"RAMP_C_000060850",1,1,0,0,0,NA
"RAMP_C_000060855",1,1,0,0,0,NA
"RAMP_C_000060857",1,1,0,0,0,NA
"RAMP_C_000060858",1,1,0,0,0,NA
"RAMP_C_000060882",1,1,0,0,0,NA
"RAMP_C_000060890",1,1,0,0,0,NA
