"metabolites","totpathways","hmdb","kegg","wiki","reac","Synonym"
"RAMP_C_000003724",1,1,0,0,0,NA
"RAMP_C_000003726",1,1,0,0,0,NA
"RAMP_C_000003727",1,1,0,0,0,NA
"RAMP_C_000003742",1,1,0,0,0,NA
"RAMP_C_000003762",1,1,0,0,0,NA
"RAMP_C_000003776",1,1,0,0,0,NA
"RAMP_C_000003791",1,1,0,0,0,NA
"RAMP_C_000003798",1,1,0,0,0,NA
"RAMP_C_000003802",1,1,0,0,0,NA
"RAMP_C_000003811",1,1,0,0,0,NA
"RAMP_C_000003816",1,1,0,0,0,NA
"RAMP_C_000003824",1,1,0,0,0,NA
"RAMP_C_000003833",1,1,0,0,0,NA
"RAMP_C_000003834",1,1,0,0,0,NA
"RAMP_C_000003838",1,1,0,0,0,NA
"RAMP_C_000003871",1,1,0,0,0,NA
"RAMP_C_000003872",1,1,0,0,0,NA
"RAMP_C_000003882",1,1,0,0,0,NA
"RAMP_C_000003891",1,1,0,0,0,NA
"RAMP_C_000003895",1,1,0,0,0,NA
"RAMP_C_000003912",1,1,0,0,0,NA
"RAMP_C_000003913",1,1,0,0,0,NA
"RAMP_C_000003925",1,1,0,0,0,NA
"RAMP_C_000003932",1,1,0,0,0,NA
"RAMP_C_000003946",1,1,0,0,0,NA
"RAMP_C_000003975",1,1,0,0,0,NA
"RAMP_C_000003986",1,1,0,0,0,NA
"RAMP_C_000004005",1,1,0,0,0,NA
"RAMP_C_000004006",1,1,0,0,0,NA
"RAMP_C_000004028",1,1,0,0,0,NA
"RAMP_C_000004030",1,1,0,0,0,NA
"RAMP_C_000004033",1,1,0,0,0,NA
"RAMP_C_000004036",1,1,0,0,0,NA
"RAMP_C_000004080",1,1,0,0,0,NA
"RAMP_C_000004082",1,1,0,0,0,NA
"RAMP_C_000004103",1,1,0,0,0,NA
"RAMP_C_000004115",1,1,0,0,0,NA
"RAMP_C_000004135",1,1,0,0,0,NA
"RAMP_C_000004138",1,1,0,0,0,NA
"RAMP_C_000004148",1,1,0,0,0,NA
"RAMP_C_000004164",1,1,0,0,0,NA
"RAMP_C_000004187",1,1,0,0,0,NA
"RAMP_C_000004203",1,1,0,0,0,NA
"RAMP_C_000004208",1,1,0,0,0,NA
"RAMP_C_000004238",1,1,0,0,0,NA
"RAMP_C_000004243",1,1,0,0,0,NA
"RAMP_C_000004245",1,1,0,0,0,NA
"RAMP_C_000004258",1,1,0,0,0,NA
"RAMP_C_000004260",1,1,0,0,0,NA
"RAMP_C_000004264",1,1,0,0,0,NA
"RAMP_C_000004274",1,1,0,0,0,NA
"RAMP_C_000004290",1,1,0,0,0,NA
"RAMP_C_000004294",1,1,0,0,0,NA
"RAMP_C_000004295",1,1,0,0,0,NA
"RAMP_C_000004309",1,1,0,0,0,NA
"RAMP_C_000004310",1,1,0,0,0,NA
"RAMP_C_000004321",1,1,0,0,0,NA
"RAMP_C_000004346",1,1,0,0,0,NA
"RAMP_C_000004358",1,1,0,0,0,NA
"RAMP_C_000004369",1,1,0,0,0,NA
"RAMP_C_000004380",1,1,0,0,0,NA
"RAMP_C_000004420",1,1,0,0,0,NA
"RAMP_C_000004427",1,1,0,0,0,NA
"RAMP_C_000004453",1,1,0,0,0,NA
"RAMP_C_000004479",1,1,0,0,0,NA
"RAMP_C_000004480",1,1,0,0,0,NA
"RAMP_C_000004481",1,1,0,0,0,NA
"RAMP_C_000004487",1,1,0,0,0,NA
"RAMP_C_000004495",1,1,0,0,0,NA
"RAMP_C_000004514",1,1,0,0,0,NA
"RAMP_C_000004538",1,1,0,0,0,NA
"RAMP_C_000004554",1,1,0,0,0,NA
"RAMP_C_000004557",1,1,0,0,0,NA
"RAMP_C_000004562",1,1,0,0,0,NA
"RAMP_C_000004571",1,1,0,0,0,NA
"RAMP_C_000004599",1,1,0,0,0,NA
"RAMP_C_000004600",1,1,0,0,0,NA
"RAMP_C_000004605",1,1,0,0,0,NA
"RAMP_C_000004615",1,1,0,0,0,NA
"RAMP_C_000004619",1,1,0,0,0,NA
"RAMP_C_000004635",1,1,0,0,0,NA
"RAMP_C_000004656",1,1,0,0,0,NA
"RAMP_C_000004661",1,1,0,0,0,NA
"RAMP_C_000004679",1,1,0,0,0,NA
"RAMP_C_000004686",1,1,0,0,0,NA
"RAMP_C_000004693",1,1,0,0,0,NA
"RAMP_C_000004696",1,1,0,0,0,NA
"RAMP_C_000004722",1,1,0,0,0,NA
"RAMP_C_000004737",1,1,0,0,0,NA
"RAMP_C_000004751",1,1,0,0,0,NA
"RAMP_C_000004775",1,1,0,0,0,NA
"RAMP_C_000004781",1,1,0,0,0,NA
"RAMP_C_000004788",1,1,0,0,0,NA
"RAMP_C_000004799",1,1,0,0,0,NA
"RAMP_C_000004805",1,1,0,0,0,NA
"RAMP_C_000004819",1,1,0,0,0,NA
"RAMP_C_000004837",1,1,0,0,0,NA
"RAMP_C_000004843",1,1,0,0,0,NA
"RAMP_C_000004856",1,1,0,0,0,NA
"RAMP_C_000004859",1,1,0,0,0,NA
"RAMP_C_000004891",1,1,0,0,0,NA
"RAMP_C_000004927",1,1,0,0,0,NA
"RAMP_C_000004932",1,1,0,0,0,NA
"RAMP_C_000004936",1,1,0,0,0,NA
"RAMP_C_000004949",1,1,0,0,0,NA
"RAMP_C_000004955",1,1,0,0,0,NA
"RAMP_C_000004957",1,1,0,0,0,NA
"RAMP_C_000004983",1,1,0,0,0,NA
"RAMP_C_000004990",1,1,0,0,0,NA
"RAMP_C_000005008",1,1,0,0,0,NA
"RAMP_C_000005015",1,1,0,0,0,NA
"RAMP_C_000005054",1,1,0,0,0,NA
"RAMP_C_000005060",1,1,0,0,0,NA
"RAMP_C_000005063",1,1,0,0,0,NA
"RAMP_C_000005075",1,1,0,0,0,NA
"RAMP_C_000005104",1,1,0,0,0,NA
"RAMP_C_000005156",1,1,0,0,0,NA
"RAMP_C_000005163",1,1,0,0,0,NA
"RAMP_C_000005194",1,1,0,0,0,NA
"RAMP_C_000005209",1,1,0,0,0,NA
"RAMP_C_000005217",1,1,0,0,0,NA
"RAMP_C_000005224",1,1,0,0,0,NA
"RAMP_C_000005226",1,1,0,0,0,NA
"RAMP_C_000005240",1,1,0,0,0,NA
"RAMP_C_000005243",1,1,0,0,0,NA
"RAMP_C_000005248",1,1,0,0,0,NA
"RAMP_C_000005260",1,1,0,0,0,NA
"RAMP_C_000005276",1,1,0,0,0,NA
"RAMP_C_000005288",1,1,0,0,0,NA
"RAMP_C_000005309",1,1,0,0,0,NA
"RAMP_C_000005316",1,1,0,0,0,NA
"RAMP_C_000005338",1,1,0,0,0,NA
"RAMP_C_000005348",1,1,0,0,0,NA
"RAMP_C_000005362",1,1,0,0,0,NA
"RAMP_C_000005367",1,1,0,0,0,NA
"RAMP_C_000005372",1,1,0,0,0,NA
"RAMP_C_000005400",1,1,0,0,0,NA
"RAMP_C_000005408",1,1,0,0,0,NA
"RAMP_C_000005409",1,1,0,0,0,NA
"RAMP_C_000005413",1,1,0,0,0,NA
"RAMP_C_000005440",1,1,0,0,0,NA
"RAMP_C_000005449",1,1,0,0,0,NA
"RAMP_C_000005453",1,1,0,0,0,NA
"RAMP_C_000005463",1,1,0,0,0,NA
"RAMP_C_000005501",1,1,0,0,0,NA
"RAMP_C_000005528",1,1,0,0,0,NA
"RAMP_C_000005535",1,1,0,0,0,NA
"RAMP_C_000005565",1,1,0,0,0,NA
"RAMP_C_000005571",1,1,0,0,0,NA
"RAMP_C_000005575",1,1,0,0,0,NA
"RAMP_C_000005600",1,1,0,0,0,NA
"RAMP_C_000005632",1,1,0,0,0,NA
"RAMP_C_000005635",1,1,0,0,0,NA
"RAMP_C_000005710",1,1,0,0,0,NA
"RAMP_C_000005720",1,1,0,0,0,NA
"RAMP_C_000005747",1,1,0,0,0,NA
"RAMP_C_000005779",1,1,0,0,0,NA
"RAMP_C_000005791",1,1,0,0,0,NA
"RAMP_C_000005796",1,1,0,0,0,NA
"RAMP_C_000005798",1,1,0,0,0,NA
"RAMP_C_000005820",1,1,0,0,0,NA
"RAMP_C_000005821",1,1,0,0,0,NA
"RAMP_C_000005826",1,1,0,0,0,NA
"RAMP_C_000005836",1,1,0,0,0,NA
